region,period,source,scenario,category,unit,value,update,note
de-stadtstaaten,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,34.807,01.03.2025,
de-schleswig-holstein,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,23.576,01.03.2025,
de-niedersachsen,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,73.722,01.03.2025,
de-nordrhein-westfalen,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,208.832,01.03.2025,
de-hessen,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,35.757,01.03.2025,
de-rheinland-pfalz,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.092,01.03.2025,
de-baden-wuerttemberg,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,68.878,01.03.2025,
de-bayern,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,91.198,01.03.2025,
de-saarland,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,12.348,01.03.2025,
de-brandenburg,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,48.927,01.03.2025,
de-sachsen,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,45.196,01.03.2025,
de-sachsen-anhalt,2020,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,29.067,01.03.2025,
de-stadtstaaten,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,41.691,01.03.2025,
de-schleswig-holstein,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,24.041,01.03.2025,
de-niedersachsen,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,77.089,01.03.2025,
de-nordrhein-westfalen,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,231.182,01.03.2025,
de-hessen,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,38.744,01.03.2025,
de-rheinland-pfalz,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.905,01.03.2025,
de-baden-wuerttemberg,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,74.312,01.03.2025,
de-bayern,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,95.314,01.03.2025,
de-saarland,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,13.357,01.03.2025,
de-brandenburg,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,55.117,01.03.2025,
de-sachsen,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,49.445,01.03.2025,
de-sachsen-anhalt,2019,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,30.99,01.03.2025,
de-stadtstaaten,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,44.962,01.03.2025,
de-schleswig-holstein,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,25.563,01.03.2025,
de-niedersachsen,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,80.641,01.03.2025,
de-nordrhein-westfalen,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,258.385,01.03.2025,
de-hessen,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,38.679,01.03.2025,
de-rheinland-pfalz,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.264,01.03.2025,
de-baden-wuerttemberg,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,77.145,01.03.2025,
de-bayern,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,94.268,01.03.2025,
de-brandenburg,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,62.081,01.03.2025,
de-sachsen,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,53.013,01.03.2025,
de-sachsen-anhalt,2018,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,34.292,01.03.2025,
de-stadtstaaten,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,46.913,01.03.2025,
de-schleswig-holstein,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,25.943,01.03.2025,
de-niedersachsen,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,82.102,01.03.2025,
de-nordrhein-westfalen,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,265.274,01.03.2025,
de-hessen,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,40.618,01.03.2025,
de-rheinland-pfalz,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,32.159,01.03.2025,
de-baden-wuerttemberg,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,80.399,01.03.2025,
de-bayern,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,95.554,01.03.2025,
de-brandenburg,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,61.82,01.03.2025,
de-sachsen,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,53.461,01.03.2025,
de-sachsen-anhalt,2017,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,32.994,01.03.2025,
de-stadtstaaten,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,46.084,01.03.2025,
de-schleswig-holstein,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,25.929,01.03.2025,
de-niedersachsen,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,83.542,01.03.2025,
de-nordrhein-westfalen,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,280.054,01.03.2025,
de-hessen,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,41.604,01.03.2025,
de-rheinland-pfalz,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.89,01.03.2025,
de-baden-wuerttemberg,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,79.969,01.03.2025,
de-bayern,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,95.964,01.03.2025,
de-saarland,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,17.758,01.03.2025,
de-brandenburg,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,62.19,01.03.2025,
de-sachsen,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,51.794,01.03.2025,
de-sachsen-anhalt,2016,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,32.836,01.03.2025,
de-stadtstaaten,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,45.613,01.03.2025,
de-schleswig-holstein,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,26.063,01.03.2025,
de-niedersachsen,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,83.889,01.03.2025,
de-nordrhein-westfalen,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,279.863,01.03.2025,
de-hessen,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,40.431,01.03.2025,
de-rheinland-pfalz,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.583,01.03.2025,
de-baden-wuerttemberg,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,78.118,01.03.2025,
de-bayern,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,94.332,01.03.2025,
de-saarland,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,22.412,01.03.2025,
de-brandenburg,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,62.557,01.03.2025,
de-sachsen,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,51.46,01.03.2025,
de-sachsen-anhalt,2015,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,33.764,01.03.2025,
de-stadtstaaten,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,42.767,01.03.2025,
de-schleswig-holstein,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,26.411,01.03.2025,
de-niedersachsen,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,84.499,01.03.2025,
de-nordrhein-westfalen,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,284.718,01.03.2025,
de-hessen,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,38.664,01.03.2025,
de-rheinland-pfalz,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.147,01.03.2025,
de-baden-wuerttemberg,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,76.621,01.03.2025,
de-bayern,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,93.398,01.03.2025,
de-saarland,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,21.597,01.03.2025,
de-brandenburg,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,62.477,01.03.2025,
de-sachsen,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,52.532,01.03.2025,
de-sachsen-anhalt,2014,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,34.571,01.03.2025,
de-stadtstaaten,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,43.318,01.03.2025,
de-schleswig-holstein,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,27.606,01.03.2025,
de-niedersachsen,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,83.198,01.03.2025,
de-nordrhein-westfalen,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,291.075,01.03.2025,
de-hessen,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,41.206,01.03.2025,
de-rheinland-pfalz,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,33.178,01.03.2025,
de-baden-wuerttemberg,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,81.804,01.03.2025,
de-bayern,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,97.599,01.03.2025,
de-saarland,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,23.743,01.03.2025,
de-brandenburg,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,63.691,01.03.2025,
de-sachsen,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,53.423,01.03.2025,
de-sachsen-anhalt,2013,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,36.486,01.03.2025,
de-stadtstaaten,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,42.797,01.03.2025,
de-schleswig-holstein,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,27.342,01.03.2025,
de-niedersachsen,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,82.343,01.03.2025,
de-nordrhein-westfalen,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,295.415,01.03.2025,
de-hessen,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,41.542,01.03.2025,
de-rheinland-pfalz,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.925,01.03.2025,
de-baden-wuerttemberg,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,76.224,01.03.2025,
de-bayern,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,96.944,01.03.2025,
de-saarland,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,22.66,01.03.2025,
de-brandenburg,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,64.29,01.03.2025,
de-sachsen,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,50.804,01.03.2025,
de-sachsen-anhalt,2012,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,37.061,01.03.2025,
de-stadtstaaten,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,42.644,01.03.2025,
de-schleswig-holstein,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,25.896,01.03.2025,
de-niedersachsen,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,84.478,01.03.2025,
de-nordrhein-westfalen,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,290.412,01.03.2025,
de-hessen,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,41.591,01.03.2025,
de-rheinland-pfalz,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,31.864,01.03.2025,
de-baden-wuerttemberg,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,77.511,01.03.2025,
de-bayern,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,96.905,01.03.2025,
de-saarland,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,22.068,01.03.2025,
de-brandenburg,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,63.34,01.03.2025,
de-sachsen,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,49.035,01.03.2025,
de-sachsen-anhalt,2011,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,36.666,01.03.2025,
de-stadtstaaten,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,46.54,01.03.2025,
de-schleswig-holstein,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,27.468,01.03.2025,
de-niedersachsen,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,85.696,01.03.2025,
de-nordrhein-westfalen,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,300.829,01.03.2025,
de-hessen,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,43.489,01.03.2025,
de-rheinland-pfalz,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,34.179,01.03.2025,
de-baden-wuerttemberg,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,79.255,01.03.2025,
de-bayern,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,98.354,01.03.2025,
de-saarland,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,20.41,01.03.2025,
de-brandenburg,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,63.276,01.03.2025,
de-sachsen,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,51.231,01.03.2025,
de-sachsen-anhalt,2010,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,37.01,01.03.2025,
de-stadtstaaten,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,43.116,01.03.2025,
de-schleswig-holstein,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,26.817,01.03.2025,
de-niedersachsen,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,83.937,01.03.2025,
de-nordrhein-westfalen,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,287.487,01.03.2025,
de-hessen,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,42.819,01.03.2025,
de-rheinland-pfalz,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,35.679,01.03.2025,
de-baden-wuerttemberg,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,77.785,01.03.2025,
de-bayern,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,95.059,01.03.2025,
de-brandenburg,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,60.816,01.03.2025,
de-sachsen,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,51.044,01.03.2025,
de-sachsen-anhalt,2009,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,37.77,01.03.2025,
de-stadtstaaten,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,43.979,01.03.2025,
de-schleswig-holstein,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,27.676,01.03.2025,
de-niedersachsen,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,87.309,01.03.2025,
de-nordrhein-westfalen,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,318.074,01.03.2025,
de-hessen,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,44.455,01.03.2025,
de-rheinland-pfalz,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,36.627,01.03.2025,
de-baden-wuerttemberg,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,84.257,01.03.2025,
de-bayern,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,98.568,01.03.2025,
de-brandenburg,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,64.669,01.03.2025,
de-sachsen,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,50.404,01.03.2025,
de-sachsen-anhalt,2008,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,36.364,01.03.2025,
de-stadtstaaten,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,43.432,01.03.2025,
de-schleswig-holstein,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,25.94,01.03.2025,
de-nordrhein-westfalen,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,321.544,01.03.2025,
de-hessen,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,44.106,01.03.2025,
de-rheinland-pfalz,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,35.455,01.03.2025,
de-baden-wuerttemberg,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,82.612,01.03.2025,
de-bayern,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,93.838,01.03.2025,
de-brandenburg,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,65.996,01.03.2025,
de-sachsen,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,51.311,01.03.2025,
de-sachsen-anhalt,2007,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,35.419,01.03.2025,
de-stadtstaaten,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,45.402,01.03.2025,
de-schleswig-holstein,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,28.255,01.03.2025,
de-niedersachsen,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,88.707,01.03.2025,
de-nordrhein-westfalen,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,317.209,01.03.2025,
de-hessen,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,46.861,01.03.2025,
de-rheinland-pfalz,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,35.387,01.03.2025,
de-baden-wuerttemberg,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,89.945,01.03.2025,
de-bayern,2006,Regionalstatistik (Tabelle 86431-Z-01),historical,Emissions|Kyoto Gases,Mt CO2eq/yr,100.812,01.03.2025,
